Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
ANDE,"The Andersons, Inc.",27.88,906100000,n/a,n/a,Consumer Services,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/ande
QIWI,QIWI plc,20.09,904526273.63,45023707,2013,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/qiwi
BNFT,"Benefitfocus, Inc.",27.77,903371568.45,n/a,2013,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/bnft
GPRO,"GoPro, Inc.",5.85,899466972.3,n/a,2014,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/gpro
TIVO,TiVo Corporation,7.13,890886370,n/a,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/tivo
WIFI,"Boingo Wireless, Inc.",20.17,887180818.39,n/a,2011,Consumer Services,Telecommunications Equipment,https://www.nasdaq.com/symbol/wifi
MLAB,"Mesa Laboratories, Inc.",225.56,879931439.32,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/mlab
ENDP,Endo International plc,3.93,876796401.3,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/endp
TPIC,"TPI Composites, Inc.",25.03,876429129.41,n/a,2016,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/tpic
QTRX,Quanterix Corporation,35.2,876350147.2,n/a,2017,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/qtrx
WASH,"Washington Trust Bancorp, Inc.",50.56,875936781.44,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/wash
OFLX,"Omega Flex, Inc.",86.6,873951785.2,n/a,n/a,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/oflx
FORR,"Forrester Research, Inc.",47.18,869857660,n/a,1996,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/forr
QQQX,Nuveen NASDAQ 100 Dynamic Overwrite Fund,22.22,865866204.72,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/qqqx
VRAY,"ViewRay, Inc.",8.92,864818333.76,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/vray
FLDM,Fluidigm Corporation,12.52,864129573.68,n/a,2011,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/fldm
